id,name,slug,games_count,image_background
4,Action,action,191512,https://media.rawg.io/media/games/49c/49c3dfa4ce2f6f140cc4825868e858cb.jpg
51,Indie,indie,86348,https://media.rawg.io/media/games/b4e/b4e4c73d5aa4ec66bbf75375c4847a2b.jpg
3,Adventure,adventure,151689,https://media.rawg.io/media/games/951/951572a3dd1e42544bd39a5d5b42d234.jpg
5,RPG,role-playing-games-rpg,61937,https://media.rawg.io/media/games/d82/d82990b9c67ba0d2d09d4e6fa88885a7.jpg
10,Strategy,strategy,62384,https://media.rawg.io/media/games/d1e/d1e70ce3762efcfc170c6bd067d7e9e3.jpg
2,Shooter,shooter,59622,https://media.rawg.io/media/games/6c5/6c55e22185876626881b76c11922b073.jpg
40,Casual,casual,67645,https://media.rawg.io/media/screenshots/4f4/4f4722571e32954af43a4508607c1748.jpg
14,Simulation,simulation,76819,https://media.rawg.io/media/games/48c/48cb04ca483be865e3a83119c94e6097.jpg
7,Puzzle,puzzle,97400,https://media.rawg.io/media/games/51c/51c430f1795c79b78f863a9f22dc422d.jpg
11,Arcade,arcade,22686,https://media.rawg.io/media/games/e0f/e0f05a97ff926acf4c8f43e0849b6832.jpg
83,Platformer,platformer,100923,https://media.rawg.io/media/games/388/388935d851846f8ec747fffc7c765800.jpg
59,Massively Multiplayer,massively-multiplayer,4250,https://media.rawg.io/media/games/447/4470c1e76f01acfaf5af9c207d1c1c92.jpg
1,Racing,racing,25773,https://media.rawg.io/media/screenshots/c02/c02c64324edc2045ea1fc0601cdaaa0c.jpg
15,Sports,sports,22628,https://media.rawg.io/media/games/d16/d160819f22de73d29813f7b6dad815f9.jpg
6,Fighting,fighting,11777,https://media.rawg.io/media/games/35b/35b47c4d85cd6e08f3e2ca43ea5ce7bb.jpg
19,Family,family,5416,https://media.rawg.io/media/games/a87/a8743bdee8627c55bb9f2f01b9136ac1.jpg
28,Board Games,board-games,8394,https://media.rawg.io/media/screenshots/2d9/2d9f74addd8f5b5f83459c2cb700aaf4.jpg
17,Card,card,4547,https://media.rawg.io/media/screenshots/06f/06fa9a33188522273623ef314ec4fc3b.jpg
34,Educational,educational,15719,https://media.rawg.io/media/games/60a/60a0b8f88184f25621b498c2ee1ebb05.jpg
